time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-15T04:35:06.757Z,64.6534,-149.3399,18.3,1.3,ml,,,,0.56,ak,ak0193egcxjd,2019-03-15T04:41:13.262Z,"13km NW of North Nenana, Alaska",earthquake,,0.1,,,automatic,ak,ak
2019-03-15T04:34:31.740Z,33.1961667,-115.606,2.41,1.17,ml,8,126,0.01903,0.2,ci,ci38269591,2019-03-15T04:38:16.982Z,"10km WSW of Niland, CA",earthquake,1.18,1.01,0.247,8,automatic,ci,ci
2019-03-15T04:34:07.250Z,19.7696667,-155.5333405,14.64,2.46,ml,43,128,0.01232,0.19,hv,hv70865917,2019-03-15T04:39:47.750Z,"31km SSE of Waimea, Hawaii",earthquake,0.54,0.99,3.52,12,automatic,hv,hv
2019-03-15T04:28:12.580Z,38.822834,-122.8079987,-0.2,0.8,md,12,71,0.01785,0.05,nc,nc73152186,2019-03-15T06:04:04.066Z,"7km NW of The Geysers, CA",earthquake,0.24,0.76,0.04,3,automatic,nc,nc
2019-03-15T04:07:44.315Z,59.646,-152.4889,70.1,1.5,ml,,,,0.44,ak,ak0193eg701w,2019-03-15T04:11:06.580Z,"39km WSW of Anchor Point, Alaska",earthquake,,2.3,,,automatic,ak,ak
2019-03-15T03:56:59.030Z,69.5433,-144.4787,10,2.5,ml,,192,0.706,0.87,us,us1000jg5g,2019-03-15T04:39:23.040Z,"73km SSW of Kaktovik, Alaska",earthquake,4.7,2,0.05,52,reviewed,us,us
2019-03-15T03:47:22.700Z,38.7963333,-122.7901688,0.97,0.19,md,6,82,0.003608,0.05,nc,nc73152181,2019-03-15T04:14:02.458Z,"4km NW of The Geysers, CA",earthquake,0.58,0.76,0.13,2,automatic,nc,nc
2019-03-15T03:46:58.020Z,38.7941666,-122.7893295,0.97,0.55,md,9,95,0.00148,0.08,nc,nc73152176,2019-03-15T04:02:03.396Z,"3km WNW of The Geysers, CA",earthquake,0.39,0.59,0.27,3,automatic,nc,nc
2019-03-15T03:45:07.270Z,34.2244987,-117.0999985,24.79,1.07,ml,17,210,0.1815,0.31,ci,ci38269559,2019-03-15T03:47:12.728Z,"2km NNE of Running Springs, CA",earthquake,2.38,3.41,0.261,6,automatic,ci,ci
2019-03-15T03:44:20.050Z,18.0276,-66.1908,10,1.14,md,3,158,0.1044,0.46,pr,pr2019074005,2019-03-15T06:57:15.582Z,"2km SE of La Plena, Puerto Rico",earthquake,6.62,7.2,0.51,3,reviewed,pr,pr
2019-03-15T03:34:33.270Z,18.266,-67.1043,30,2.15,md,3,288,0.0921,0.26,pr,pr2019074004,2019-03-15T06:57:04.814Z,"1km SE of Espino, Puerto Rico",earthquake,2.72,2.17,0.09,3,reviewed,pr,pr
2019-03-15T03:22:19.760Z,18.4818,-68.8081,105,2.61,md,13,126,0.4279,0.27,pr,pr2019074003,2019-03-15T06:56:48.380Z,"15km WNW of San Rafael del Yuma, Dominican Republic",earthquake,2.3,1.76,0.21,13,reviewed,pr,pr
2019-03-15T03:19:42.263Z,64.9593,-149.1716,34.5,1.1,ml,,,,0.81,ak,ak0193efo5a0,2019-03-15T03:24:06.817Z,"42km N of North Nenana, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-03-15T03:19:29.468Z,64.9307,-149.0555,25.7,1.1,ml,,,,0.13,ak,ak0193efo48i,2019-03-15T03:25:47.526Z,"39km N of North Nenana, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-03-15T03:16:46.710Z,33.7323333,-116.8041667,15.79,0.89,ml,28,103,0.07793,0.18,ci,ci38269535,2019-03-15T03:20:25.175Z,"8km W of Idyllwild, CA",earthquake,0.39,0.55,0.247,28,automatic,ci,ci
2019-03-15T03:16:43.090Z,19.4716663,-155.9071655,8.22,1.8,md,20,248,0.0187,0.16,hv,hv70865842,2019-03-15T03:20:02.290Z,"3km SSE of Captain Cook, Hawaii",earthquake,0.93,0.54,0.41,4,automatic,hv,hv
2019-03-15T03:11:51.260Z,33.7101667,-116.8098333,15.16,0.95,ml,32,82,0.07975,0.2,ci,ci38269519,2019-03-15T03:15:35.311Z,"9km ESE of Valle Vista, CA",earthquake,0.46,0.59,0.204,25,automatic,ci,ci
2019-03-15T03:11:45.040Z,34.0196667,-117.487,0.66,1.28,ml,10,97,0.2107,0.29,ci,ci38269527,2019-03-15T03:15:51.754Z,"1km NNW of Glen Avon, CA",earthquake,0.93,31.61,0.277,14,automatic,ci,ci
2019-03-15T03:09:48.180Z,33.5071667,-116.7721667,2.49,0.63,ml,21,64,0.02411,0.18,ci,ci38269511,2019-03-15T03:13:33.869Z,"11km WSW of Anza, CA",earthquake,0.24,0.31,0.126,15,automatic,ci,ci
2019-03-15T02:38:24.670Z,38.8268318,-122.8311691,2.46,0.81,md,10,90,0.004781,0.03,nc,nc73152171,2019-03-15T02:54:03.010Z,"8km NW of The Geysers, CA",earthquake,0.46,1,0.25,2,automatic,nc,nc
2019-03-15T02:24:27.137Z,57.6644,-155.9213,0,2.3,ml,,,,1.03,ak,ak0193ef3r15,2019-03-15T02:29:35.357Z,"116km W of Larsen Bay, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-03-15T02:04:02.629Z,63.212,-151.1198,0,1.7,ml,,,,0.8,ak,ak0193eezete,2019-03-15T02:08:10.204Z,"110km W of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-03-15T01:59:38.704Z,63.2527,-151.1984,0,2.1,ml,,,,0.89,ak,ak0193eepudi,2019-03-15T02:03:18.403Z,"113km W of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-03-15T01:56:02.160Z,37.2953,-97.9225,5,2.2,mb_lg,,151,0.06,0.27,us,us1000jg4k,2019-03-15T02:44:12.340Z,"9km E of Harper, Kansas",earthquake,1.1,1.4,0.147,12,reviewed,us,us
2019-03-15T01:53:11.270Z,34.6233333,-116.5723333,7.61,1.75,ml,20,50,0.04754,0.12,ci,ci38269471,2019-03-15T01:57:00.853Z,"39km WSW of Ludlow, CA",earthquake,0.22,1.11,0.159,28,automatic,ci,ci
2019-03-15T01:47:37.610Z,33.4986667,-116.7648333,7.28,0.82,ml,22,84,0.07042,0.14,ci,ci38269463,2019-03-15T01:51:10.785Z,"10km SW of Anza, CA",earthquake,0.29,0.72,0.143,10,automatic,ci,ci
2019-03-15T01:47:28.700Z,35.785,-115.4067,10.7,1.4,ml,6,227.28,0.449,0.05,nn,nn00680003,2019-03-15T01:50:23.299Z,"20km E of Sandy Valley, Nevada",earthquake,,9.4,,,automatic,nn,nn
2019-03-15T01:46:40.460Z,34.6223333,-116.5651667,7.3,2.05,ml,27,53,0.05333,0.18,ci,ci38269455,2019-03-15T01:57:39.330Z,"39km WSW of Ludlow, CA",earthquake,0.29,1.57,0.124,27,automatic,ci,ci
